portname,state,portcode,border,measure,value,location
Calexico East,California,2507,US-Mexico Border,Trucks,34447,POINT (-115.48433000000001 32.67524)
Van Buren,Maine,108,US-Canada Border,Rail Containers Full,428,POINT (-67.94271 47.16207)
Otay Mesa,California,2506,US-Mexico Border,Trucks,81217,POINT (-117.05333 32.57333)
Nogales,Arizona,2604,US-Mexico Border,Trains,62,POINT (-110.93361 31.340279999999996)
Trout River,New York,715,US-Canada Border,Personal Vehicle Passengers,16377,POINT (-73.44253 44.990010000000005)
Madawaska,Maine,109,US-Canada Border,Trucks,179,POINT (-68.3271 47.35446)
Pembina,North Dakota,3401,US-Canada Border,Bus Passengers,1054,POINT (-97.24333 48.96639)
Progreso,Texas,2309,US-Mexico Border,Truck Containers Empty,1808,POINT (-97.94889 26.061670000000003)
Portal,North Dakota,3403,US-Canada Border,Rail Containers Empty,6685,POINT (-102.54917 48.99583)
Champlain-Rouses Point,New York,712,US-Canada Border,Trucks,24759,POINT (-73.44694 44.98639)
Opheim,Montana,3317,US-Canada Border,Personal Vehicles,235,POINT (-106.40265 48.85574)
Neche,North Dakota,3404,US-Canada Border,Trucks,584,POINT (-97.55444 48.98611)
Lancaster,Minnesota,3430,US-Canada Border,Personal Vehicles,1612,POINT (-96.82024 48.84911000000001)
Derby Line,Vermont,209,US-Canada Border,Buses,80,POINT (-72.09944 45.005)
Sarles,North Dakota,3409,US-Canada Border,Personal Vehicle Passengers,509,POINT (-98.99457 48.941050000000004)
Wildhorse,Montana,3323,US-Canada Border,Truck Containers Full,122,POINT (-109.67761 48.54863)
Derby Line,Vermont,209,US-Canada Border,Truck Containers Full,6483,POINT (-72.09944 45.005)
Lynden,Washington,3023,US-Canada Border,Pedestrians,79,POINT (-122.44316000000002 48.94802)
Vanceboro,Maine,105,US-Canada Border,Pedestrians,3,POINT (-67.42955 45.55984)
San Ysidro,California,2504,US-Mexico Border,Bus Passengers,7779,POINT (-117.02666999999998 32.54306)
Scobey,Montana,3309,US-Canada Border,Personal Vehicles,325,POINT (-105.44272 48.80707)
Beecher Falls,Vermont,206,US-Canada Border,Trucks,901,POINT (-71.49664 45.00808)
Calais,Maine,115,US-Canada Border,Train Passengers,30,POINT (-67.27917 45.18889)
Massena,New York,704,US-Canada Border,Truck Containers Full,1489,POINT (-74.74 44.98944)
Oroville,Washington,3019,US-Canada Border,Buses,12,POINT (-119.43444 48.93917)
Hansboro,North Dakota,3415,US-Canada Border,Truck Containers Full,1,POINT (-99.38250000000001 48.95)
Ferry,Washington,3013,US-Canada Border,Personal Vehicles,601,POINT (-118.58774 48.88627)
Pembina,North Dakota,3401,US-Canada Border,Trucks,19150,POINT (-97.24333 48.96639)
Tecate,California,2505,US-Mexico Border,Truck Containers Empty,1993,POINT (-116.62667 32.57722)
Eastport,Idaho,3302,US-Canada Border,Trains,101,POINT (-116.18027999999998 48.99944)
Walhalla,North Dakota,3407,US-Canada Border,Personal Vehicles,2399,POINT (-97.91778 48.92333)
Calais,Maine,115,US-Canada Border,Trains,15,POINT (-67.27917 45.18889)
Roma,Texas,2310,US-Mexico Border,Truck Containers Empty,740,POINT (-99.01833 26.40361)
Naco,Arizona,2603,US-Mexico Border,Truck Containers Empty,139,POINT (-109.9475 31.335280000000004)
Boquillas,Texas,2410,US-Mexico Border,Pedestrians,4362,POINT (-102.95 29.190000000000005)
Raymond,Montana,3301,US-Canada Border,Buses,1,POINT (-104.575 48.99667)
Porthill,Idaho,3308,US-Canada Border,Truck Containers Empty,282,POINT (-116.49828 48.99282)
Norton,Vermont,211,US-Canada Border,Personal Vehicles,1350,POINT (-71.79528000000002 45.01)
Sault Sainte Marie,Michigan,3803,US-Canada Border,Truck Containers Empty,769,POINT (-84.29889 46.47028)
Antler,North Dakota,3413,US-Canada Border,Truck Containers Full,9,POINT (-101.28194 48.97083)
Otay Mesa,California,2506,US-Mexico Border,Personal Vehicles,573597,POINT (-117.05333 32.57333)
Eastport,Idaho,3302,US-Canada Border,Pedestrians,200,POINT (-116.18027999999998 48.99944)
Rio Grande City,Texas,2307,US-Mexico Border,Pedestrians,4762,POINT (-98.82 26.37944)
Portal,North Dakota,3403,US-Canada Border,Trains,135,POINT (-102.54917 48.99583)
Del Rio,Texas,2302,US-Mexico Border,Truck Containers Full,5295,POINT (-100.89639 29.3625)
Sasabe,Arizona,2606,US-Mexico Border,Personal Vehicle Passengers,4658,POINT (-111.54139 31.48861)
Sault Sainte Marie,Michigan,3803,US-Canada Border,Truck Containers Full,3362,POINT (-84.29889 46.47028)
Highgate Springs-Alburg,Vermont,212,US-Canada Border,Trains,25,POINT (-73.10583 44.979440000000004)
Madawaska,Maine,109,US-Canada Border,Personal Vehicle Passengers,44387,POINT (-68.3271 47.35446)
Sasabe,Arizona,2606,US-Mexico Border,Pedestrians,23,POINT (-111.54139 31.48861)
Del Bonita,Montana,3322,US-Canada Border,Truck Containers Full,39,POINT (-112.32481 48.63274)
